unit_id,target,model,metric,value
0,target_export,flowstate,mae,212.11695861816406
0,target_export,flowstate,mse,103889.5546875
0,target_export,flowstate,rmse,322.31902625737126
0,target_export,flowstate,mape,48.8042106628418
0,target_export,flowstate,smape,59.822113037109375
0,target_import,flowstate,mae,133.1695556640625
0,target_import,flowstate,mse,24473.677734375
0,target_import,flowstate,rmse,156.44065243527655
0,target_import,flowstate,mape,56.44195556640625
0,target_import,flowstate,smape,41.53008270263672
1,target_export,flowstate,mae,3.6691465377807617
1,target_export,flowstate,mse,39.18714141845703
1,target_export,flowstate,rmse,6.259963371974075
1,target_export,flowstate,mape,118.73234558105469
1,target_export,flowstate,smape,91.9340591430664
1,target_import,flowstate,mae,1.2089910507202148
1,target_import,flowstate,mse,2.586622953414917
1,target_import,flowstate,rmse,1.608298154390198
1,target_import,flowstate,mape,53.993709564208984
1,target_import,flowstate,smape,39.65522384643555
2,target_export,flowstate,mae,849.258544921875
2,target_export,flowstate,mse,1610318.625
2,target_export,flowstate,rmse,1268.9833036726684
2,target_export,flowstate,mape,40.82137680053711
2,target_export,flowstate,smape,51.664066314697266
2,target_import,flowstate,mae,208.60569763183594
2,target_import,flowstate,mse,74907.125
2,target_import,flowstate,rmse,273.6916604502227
2,target_import,flowstate,mape,34.11602783203125
2,target_import,flowstate,smape,29.5874080657959
3,target_export,flowstate,mae,40.779056549072266
3,target_export,flowstate,mse,6777.81103515625
3,target_export,flowstate,rmse,82.32746221739286
3,target_export,flowstate,mape,2471.30517578125
3,target_export,flowstate,smape,105.3349380493164
3,target_import,flowstate,mae,118.10828399658203
3,target_import,flowstate,mse,32607.947265625
3,target_import,flowstate,rmse,180.57670742824226
3,target_import,flowstate,mape,30.811738967895508
3,target_import,flowstate,smape,21.2742862701416
4,target_export,flowstate,mae,100.6631851196289
4,target_export,flowstate,mse,40098.69921875
4,target_export,flowstate,rmse,200.24659602287875
4,target_export,flowstate,mape,738.7936401367188
4,target_export,flowstate,smape,96.95553588867188
4,target_import,flowstate,mae,126.54293060302734
4,target_import,flowstate,mse,31637.4375
4,target_import,flowstate,rmse,177.86915837210228
4,target_import,flowstate,mape,29.056621551513672
4,target_import,flowstate,smape,21.268539428710938
5,target_export,flowstate,mae,549.8179321289062
5,target_export,flowstate,mse,1027828.6875
5,target_export,flowstate,rmse,1013.818863259113
5,target_export,flowstate,mape,112.03857421875
5,target_export,flowstate,smape,73.11711120605469
5,target_import,flowstate,mae,1081.2232666015625
5,target_import,flowstate,mse,2413380.25
5,target_import,flowstate,rmse,1553.5057933590076
5,target_import,flowstate,mape,21.357587814331055
5,target_import,flowstate,smape,16.988615036010742
6,target_export,flowstate,mae,7.216593265533447
6,target_export,flowstate,mse,116.0633316040039
6,target_export,flowstate,rmse,10.773269308988981
6,target_export,flowstate,mape,46.7617073059082
6,target_export,flowstate,smape,49.60398864746094
6,target_import,flowstate,mae,2.703019380569458
6,target_import,flowstate,mse,11.732007026672363
6,target_import,flowstate,rmse,3.4252017497765532
6,target_import,flowstate,mape,38.99341583251953
6,target_import,flowstate,smape,33.82048797607422
7,target_export,flowstate,mae,29.039194107055664
7,target_export,flowstate,mse,1687.20556640625
7,target_export,flowstate,rmse,41.07560792497477
7,target_export,flowstate,mape,37.810646057128906
7,target_export,flowstate,smape,50.38856887817383
7,target_import,flowstate,mae,9.012913703918457
7,target_import,flowstate,mse,141.12246704101562
7,target_import,flowstate,rmse,11.879497760470164
7,target_import,flowstate,mape,33.2267951965332
7,target_import,flowstate,smape,31.732648849487305
8,target_export,flowstate,mae,12.061612129211426
8,target_export,flowstate,mse,346.576904296875
8,target_export,flowstate,rmse,18.61657606266187
8,target_export,flowstate,mape,2738975.0
8,target_export,flowstate,smape,85.4453353881836
8,target_import,flowstate,mae,11.070237159729004
8,target_import,flowstate,mse,174.0189666748047
8,target_import,flowstate,rmse,13.19162486863558
8,target_import,flowstate,mape,21.146839141845703
8,target_import,flowstate,smape,18.176834106445312
9,target_export,flowstate,mae,94.34930419921875
9,target_export,flowstate,mse,19551.9296875
9,target_export,flowstate,rmse,139.82821491923582
9,target_export,flowstate,mape,58.603031158447266
9,target_export,flowstate,smape,78.88982391357422
9,target_import,flowstate,mae,8.29985523223877
9,target_import,flowstate,mse,123.5738525390625
9,target_import,flowstate,rmse,11.116377671663665
9,target_import,flowstate,mape,29.533546447753906
9,target_import,flowstate,smape,30.517498016357422
10,target_export,flowstate,mae,46.312191009521484
10,target_export,flowstate,mse,6209.95166015625
10,target_export,flowstate,rmse,78.80324650771851
10,target_export,flowstate,mape,2499.539306640625
10,target_export,flowstate,smape,105.78012084960938
10,target_import,flowstate,mae,93.79773712158203
10,target_import,flowstate,mse,13087.6875
10,target_import,flowstate,rmse,114.40143137216423
10,target_import,flowstate,mape,30.846336364746094
10,target_import,flowstate,smape,24.937625885009766
11,target_export,flowstate,mae,18.14732551574707
11,target_export,flowstate,mse,900.5647583007812
11,target_export,flowstate,rmse,30.00941116218013
11,target_export,flowstate,mape,198.0182342529297
11,target_export,flowstate,smape,66.69023895263672
11,target_import,flowstate,mae,7.570931911468506
11,target_import,flowstate,mse,86.63955688476562
11,target_import,flowstate,rmse,9.308037219777628
11,target_import,flowstate,mape,43.06528091430664
11,target_import,flowstate,smape,34.220401763916016
12,target_export,flowstate,mae,82.01067352294922
12,target_export,flowstate,mse,17048.0859375
12,target_export,flowstate,rmse,130.56831904217808
12,target_export,flowstate,mape,57.85639953613281
12,target_export,flowstate,smape,53.650264739990234
12,target_import,flowstate,mae,15.885788917541504
12,target_import,flowstate,mse,433.8883056640625
12,target_import,flowstate,rmse,20.82998573365
